49,49,50,43,49,50,50,49,43,50,50,49,43,49,49,49,49,49,50,50,50,43,43,50,49,50,49,43,50,49,50,50,49,50,49,49,49,49,49,49,43,43,49,49,43,50,49,49,49,43,43,43,43,49,50,49,49,43,43,50,50,49,49,50,50,50,50,43,50,49,50,43,49,49,49,49,50,50,50,49,49,50,50,49,43,49,49,50,49,49,50,43,43,49,49,49,49,50,49,50,
49,49,49,50,50,43,50,43,49,50,49,49,43,43,50,43,49,43,50,49,50,43,49,49,43,43,49,43,50,49,49,50,43,50,43,43,50,49,43,49,49,49,49,49,49,49,49,43,49,50,50,50,49,50,43,43,50,43,49,50,49,49,49,43,49,43,50,50,49,49,43,49,43,43,43,49,49,50,43,50,49,43,43,43,43,49,50,43,49,49,49,49,50,43,49,50,49,43,50,43,
43,50,43,49,49,50,49,49,43,43,49,49,49,49,49,49,43,43,49,49,50,43,50,50,50,50,50,50,43,50,49,49,43,49,49,50,50,49,50,43,49,50,43,50,50,43,49,43,43,50,50,43,49,49,43,49,49,50,50,43,49,43,43,50,43,50,50,50,43,43,50,50,49,49,49,49,43,49,49,43,50,43,50,50,49,43,49,50,50,50,49,50,43,43,50,50,50,50,50,43,
50,50,43,49,49,43,43,50,50,50,50,49,49,43,43,49,43,50,43,50,50,50,50,50,49,49,43,43,49,43,50,50,49,50,49,49,49,49,50,43,49,43,50,50,49,43,50,49,43,43,43,43,50,49,43,43,49,43,49,50,49,43,43,50,50,49,43,49,43,43,49,50,50,50,49,43,49,49,43,43,43,50,50,43,50,43,43,50,50,43,43,43,43,50,43,43,50,49,49,49,
50,43,49,43,50,43,50,50,49,49,43,43,43,49,49,43,50,50,50,43,49,49,43,43,50,49,43,49,50,50,49,50,43,49,50,50,49,43,50,43,43,43,49,43,50,49,49,50,43,49,43,50,43,49,50,50,49,50,49,50,49,49,49,50,50,43,50,43,50,49,49,43,43,49,50,49,49,49,49,49,49,43,50,50,43,43,43,49,49,43,49,43,49,50,49,49,50,50,49,50,
49,49,43,50,50,50,43,49,43,49,43,49,43,43,43,43,50,49,43,43,43,43,49,43,50,43,50,49,49,50,49,43,49,49,43,50,50,50,49,50,43,50,49,43,43,49,50,43,49,43,49,49,50,50,49,50,50,43,49,43,43,49,50,50,50,43,50,50,50,50,43,50,50,50,43,43,43,43,43,43,50,49,43,43,49,43,49,43,43,43,49,43,50,49,49,49,49,49,49,43,
43,49,49,50,49,49,43,50,43,49,49,50,50,50,43,43,49,50,43,50,43,49,49,49,43,43,43,50,50,50,50,43,50,50,50,50,43,49,50,50,43,49,50,43,50,49,49,49,43,50,50,43,49,50,50,49,49,49,43,50,50,43,43,43,50,43,50,43,43,43,50,43,49,50,49,49,43,49,50,49,43,49,50,49,50,49,49,43,43,43,49,50,43,49,43,50,43,50,50,43,
49,49,50,50,50,50,49,50,43,50,50,49,50,49,50,43,50,49,43,50,43,43,50,50,50,49,50,49,49,50,43,50,49,49,43,49,50,43,43,50,49,50,43,49,49,50,43,49,43,50,43,49,50,50,43,49,50,50,43,50,49,49,49,43,43,43,43,50,43,50,43,49,50,43,50,49,43,50,50,50,43,49,49,43,50,49,50,43,50,43,50,50,43,50,49,49,43,49,50,50,
50,50,50,50,50,43,43,43,43,43,50,49,43,50,50,43,49,43,49,50,43,43,50,50,49,50,50,49,50,50,43,49,50,43,43,43,43,49,50,43,43,50,50,50,49,49,43,49,43,50,49,50,50,50,49,50,43,43,50,50,50,49,50,43,43,50,49,50,50,43,43,50,49,43,50,49,43,43,43,49,50,49,49,43,43,49,50,49,50,49,49,50,49,43,50,50,50,49,50,49,
43,49,49,49,43,50,50,50,50,43,50,50,50,43,50,49,43,49,43,50,49,43,50,49,49,49,50,50,49,50,43,49,43,43,50,49,49,50,50,43,50,43,49,49,43,49,43,43,50,50,49,43,49,50,43,50,43,50,50,43,50,49,50,43,50,49,49,50,43,43,49,43,43,49,50,43,43,49,49,50,43,49,43,50,49,43,49,49,50,49,50,50,50,43,50,50,50,50,50,43,
