58,49,50,50,16,13,25,1,1,13,25,1,14,1,1,13,25,25,25,1,13,14,21,21,16,49,50,43,43,50,49,43,43,50,50,43,50,43,50,14,
58,50,5,27,28,25,25,1,13,25,25,13,14,13,1,13,25,13,1,25,1,14,33,33,16,50,49,43,49,50,43,50,49,49,43,50,49,43,49,14,
58,43,16,25,1,13,25,25,13,13,1,25,14,25,13,25,13,25,1,13,1,14,52,51,16,43,49,43,43,50,49,43,49,50,50,50,50,49,43,14,
58,50,16,2,3,3,7,3,4,25,13,25,14,3,3,7,3,3,3,7,3,18,50,50,16,50,43,50,50,43,43,49,49,50,43,43,49,50,49,14,
58,43,16,14,41,29,19,41,17,3,7,3,18,41,30,19,30,41,30,19,30,60,43,49,16,43,43,50,50,43,50,43,49,50,50,43,50,49,43,14,
58,43,17,18,51,52,31,53,58,41,19,41,60,51,52,31,51,52,52,31,51,52,54,43,58,41,41,41,38,38,38,38,38,38,38,38,41,41,41,60,
58,50,58,60,50,50,50,50,52,52,31,52,52,54,49,49,43,49,50,43,43,43,43,43,52,50,50,50,49,50,43,50,49,43,50,49,49,49,49,60,
58,50,51,51,50,49,49,49,50,50,49,50,49,43,43,49,50,50,43,43,49,50,43,43,49,43,50,49,49,49,50,50,43,43,43,43,43,50,49,60,
58,50,50,50,50,50,43,49,50,50,50,50,50,49,43,43,50,50,50,49,49,49,50,49,50,50,43,50,50,50,43,50,49,50,43,43,43,43,43,60,
58,49,49,43,50,50,49,50,43,50,43,50,43,50,49,43,43,43,50,43,43,50,50,49,49,50,43,43,50,43,50,50,50,43,49,43,43,43,43,60,
58,43,43,49,43,49,50,5,27,27,27,27,27,6,43,43,43,43,5,27,27,27,27,27,6,50,43,49,43,49,49,50,49,43,49,43,50,49,43,60,
58,49,49,43,49,49,50,16,13,25,1,13,25,14,37,38,38,39,16,13,1,25,25,1,14,49,43,50,49,50,50,49,50,50,49,43,50,49,50,60,
58,50,43,49,49,50,43,16,25,13,25,1,25,14,37,38,38,39,16,25,13,25,1,13,14,50,49,43,43,43,49,43,50,50,50,50,50,49,43,60,
58,49,50,50,43,50,43,16,13,1,1,13,1,14,37,38,38,39,16,25,25,13,25,1,14,49,50,49,49,50,50,49,50,43,49,43,49,50,43,60,
58,43,49,43,43,49,50,16,1,1,25,25,13,14,37,38,38,39,16,25,13,25,25,13,14,49,43,43,43,43,43,43,50,49,50,43,50,50,43,60,
58,49,50,50,50,50,43,16,25,25,13,1,13,14,37,38,38,39,16,13,13,25,1,1,14,49,43,49,43,49,43,49,50,43,49,43,49,43,43,60,
58,43,50,43,50,49,50,16,1,25,1,25,25,14,37,38,38,39,16,25,1,1,13,25,14,50,49,43,49,50,50,43,50,43,50,50,50,50,50,60,
58,43,50,43,43,43,50,16,13,25,25,13,13,14,37,38,38,39,16,13,13,13,25,13,14,43,49,50,50,50,50,49,49,43,49,49,50,50,49,60,
58,50,50,43,50,49,49,16,25,1,13,25,1,14,37,38,38,39,16,1,1,25,25,1,14,49,43,43,50,43,49,43,50,43,43,49,49,43,49,60,
58,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,60,
